Comment,Designator,Footprint, LCSC Part#
4.7uF,C1,0402_C,C23733
100nF,"C2,C3,C10,C11",0402_C,C1525
10nF,C4,0402_C, C15195
1uF,C5,0402_C,C52923
33pF,"C6,C7",0402_C,C1562
18pF,"C8,C9",0402_C,C1549
FC-2012HRK-620D Red 0603,D1,0805_LED,C84256
C2293 Blue LED,D2,0805_LED,C2293
10K,"R2,R3,R1,R4",0402_R, C25744
100,R5,0402_R, C25076
510,R6,0603_R,C23193
330,R7,0603_R,C23138
TS-1187A-C-C-B,"SW1,SW2",SW-4_5.1x5.1x1.7,C318889
STM32F030C8T6,U1,LQFP48,C23922
X50328MSB2GI 8MHz,Y1,SMD-5032_2P,C115962
Q13FC1350000400 32.768kHz,Y2,SMD-3215_2P,C32346
